[M::mm_idx_gen::9.209*1.69] collected minimizers
[M::mm_idx_gen::10.622*4.83] sorted minimizers
[M::main::10.623*4.83] loaded/built the index for 18131 target sequence(s)
[M::mm_mapopt_update::10.623*4.83] mid_occ = 1000
[M::mm_idx_stat] kmer size: 21; skip: 11; is_hpc: 0; #seq: 18131
[M::mm_idx_stat::10.986*4.70] distinct minimizers: 46089275 (73.77% are singletons); average occurrences: 2.153; average spacing: 6.032; total length: 598476837
[M::worker_pipeline::11.936*5.09] mapped 554622 sequences
[M::worker_pipeline::12.794*5.43] mapped 552692 sequences
[M::worker_pipeline::13.500*5.81] mapped 551425 sequences
[M::worker_pipeline::14.178*6.18] mapped 550613 sequences
[M::worker_pipeline::14.769*6.59] mapped 550274 sequences
[M::worker_pipeline::15.563*6.93] mapped 550567 sequences
[M::worker_pipeline::16.107*7.31] mapped 549677 sequences
[M::worker_pipeline::16.785*7.57] mapped 548800 sequences
[M::worker_pipeline::17.433*7.90] mapped 548846 sequences
[M::worker_pipeline::18.111*8.17] mapped 548815 sequences
[M::worker_pipeline::18.664*8.49] mapped 548210 sequences
[M::worker_pipeline::19.246*8.75] mapped 547531 sequences
[M::worker_pipeline::19.857*8.98] mapped 547824 sequences
[M::worker_pipeline::20.404*9.19] mapped 547339 sequences
[M::worker_pipeline::20.998*9.38] mapped 547014 sequences
[M::worker_pipeline::21.728*9.49] mapped 546973 sequences
[M::worker_pipeline::22.321*9.71] mapped 546245 sequences
[M::worker_pipeline::22.939*9.88] mapped 545551 sequences
[M::worker_pipeline::23.539*10.04] mapped 545541 sequences
[M::worker_pipeline::24.132*10.20] mapped 545609 sequences
[M::worker_pipeline::24.733*10.36] mapped 545014 sequences
[M::worker_pipeline::25.438*10.50] mapped 543815 sequences
[M::worker_pipeline::26.020*10.63] mapped 542986 sequences
[M::worker_pipeline::26.650*10.74] mapped 542353 sequences
[M::worker_pipeline::27.203*10.87] mapped 541756 sequences
[M::worker_pipeline::27.883*10.95] mapped 541608 sequences
[M::worker_pipeline::28.559*11.03] mapped 540721 sequences
[M::worker_pipeline::29.197*11.13] mapped 539116 sequences
[M::worker_pipeline::29.747*11.24] mapped 538476 sequences
[M::worker_pipeline::30.328*11.33] mapped 537911 sequences
[M::worker_pipeline::30.920*11.40] mapped 550350 sequences
[M::worker_pipeline::31.523*11.48] mapped 553948 sequences
[M::worker_pipeline::32.094*11.58] mapped 552705 sequences
[M::worker_pipeline::32.782*11.63] mapped 551384 sequences
[M::worker_pipeline::33.477*11.69] mapped 550566 sequences
[M::worker_pipeline::34.142*11.75] mapped 550590 sequences
[M::worker_pipeline::34.769*11.82] mapped 551153 sequences
[M::worker_pipeline::35.353*11.90] mapped 550021 sequences
[M::worker_pipeline::35.964*11.98] mapped 549084 sequences
[M::worker_pipeline::36.578*12.03] mapped 549689 sequences
[M::worker_pipeline::37.246*12.09] mapped 549234 sequences
[M::worker_pipeline::37.867*12.15] mapped 548585 sequences
[M::worker_pipeline::38.460*12.22] mapped 547912 sequences
[M::worker_pipeline::39.085*12.29] mapped 547631 sequences
[M::worker_pipeline::39.649*12.36] mapped 547608 sequences
[M::worker_pipeline::40.255*12.40] mapped 546715 sequences
[M::worker_pipeline::40.826*12.46] mapped 546434 sequences
[M::worker_pipeline::41.386*12.52] mapped 546227 sequences
[M::worker_pipeline::42.009*12.55] mapped 544302 sequences
[M::worker_pipeline::42.685*12.58] mapped 544604 sequences
[M::worker_pipeline::43.349*12.62] mapped 543367 sequences
[M::worker_pipeline::43.948*12.67] mapped 542724 sequences
[M::worker_pipeline::44.523*12.70] mapped 542337 sequences
[M::worker_pipeline::45.101*12.75] mapped 541788 sequences
[M::worker_pipeline::45.800*12.77] mapped 540449 sequences
[M::worker_pipeline::46.348*12.82] mapped 540457 sequences
[M::worker_pipeline::46.942*12.86] mapped 538946 sequences
[M::worker_pipeline::47.593*12.88] mapped 538790 sequences
[M::worker_pipeline::48.268*12.89] mapped 538220 sequences
[M::worker_pipeline::48.955*12.91] mapped 537260 sequences
[M::worker_pipeline::49.581*12.94] mapped 555222 sequences
[M::worker_pipeline::50.151*12.99] mapped 553767 sequences
[M::worker_pipeline::50.707*13.05] mapped 552144 sequences
[M::worker_pipeline::51.277*13.09] mapped 551013 sequences
[M::worker_pipeline::51.867*13.12] mapped 550407 sequences
[M::worker_pipeline::52.469*13.15] mapped 549896 sequences
[M::worker_pipeline::52.997*13.19] mapped 549275 sequences
[M::worker_pipeline::53.585*13.22] mapped 548792 sequences
[M::worker_pipeline::54.166*13.25] mapped 548277 sequences
