ref_name	taxid	taxon_name	species_name	read_count
kraken:taxid|573508	573508	Aspergillus	Aspergillus_cristatus	28144
kraken:taxid|1405805	1405805	Aspergillus	Aspergillus_pseudoglaucus	6427
kraken:taxid|76775	76775	Malassezia	Malassezia_restricta	5418
kraken:taxid|2892461	2892461	Elymus	Elymus_magellanicus	5102
kraken:taxid|227321	227321	Aspergillus	Aspergillus_nidulans	3626
kraken:taxid|746128	746128	Aspergillus	Aspergillus_fumigatus	3488
kraken:taxid|319627	319627	Aspergillus	Aspergillus_sclerotioniger	3464
kraken:taxid|9606	9606	Homo	Homo_sapiens	3441
kraken:taxid|481310	481310	Demodex	Demodex_folliculorum	2774
kraken:taxid|264951	264951	Paecilomyces	Paecilomyces_variotii	2500
kraken:taxid|1070780	1070780	Aspergillus	Aspergillus_affinis	2499
kraken:taxid|369605	369605	Pachyramphus	Pachyramphus_minor	1760
kraken:taxid|41062	41062	Aspergillus	Aspergillus_leporis	1647
kraken:taxid|5077	5077	Penicillium	Penicillium_citrinum	1645
kraken:taxid|36643	36643	Aspergillus	Aspergillus_avenaceus	1624
kraken:taxid|1514897	1514897	Malassezia	Malassezia_arunalokei	1049
kraken:taxid|5083	5083	Penicillium	Penicillium_canescens	1034
kraken:taxid|5082	5082	Penicillium	Penicillium_roqueforti	899
kraken:taxid|138285	138285	Aspergillus	Aspergillus_coremiiformis	820
kraken:taxid|209559	209559	Aspergillus	Aspergillus_alliaceus	605
kraken:taxid|5325	5325	Trametes	Trametes_versicolor	514
kraken:taxid|1970646	1970646	Cladosporium	Cladosporium_anthropophilum	440
kraken:taxid|169489	169489	Malassezia	Malassezia_dermatis	356
kraken:taxid|7253	7253	Drosophila	Drosophila_mercatorum	291
kraken:taxid|60172	60172	Penicillium	Penicillium_solitum	165
kraken:taxid|63221	63221	Homo	Homo_sapiens	135
kraken:taxid|85120	85120	Clogmia	Clogmia_albipunctata	45
