genus	Length	TotalReads
Penicillium	84	2521
Penicillium	79	2512
Penicillium	87	2480
Penicillium	82	2466
Penicillium	88	2463
Penicillium	81	2454
Penicillium	80	2431
Penicillium	83	2417
Penicillium	85	2411
Penicillium	86	2405
Penicillium	78	2385
Penicillium	90	2360
Penicillium	92	2345
Penicillium	77	2326
Penicillium	89	2312
Penicillium	75	2246
Penicillium	93	2221
Penicillium	94	2215
Penicillium	91	2208
Penicillium	76	2188
Penicillium	73	2163
Penicillium	74	2163
Penicillium	96	2150
Penicillium	97	2084
Penicillium	95	2072
Penicillium	72	2003
Penicillium	99	1968
Penicillium	98	1875
Penicillium	101	1836
Penicillium	100	1777
Penicillium	70	1760
Penicillium	71	1755
Penicillium	69	1735
Penicillium	102	1712
Penicillium	103	1625
Penicillium	105	1615
Penicillium	106	1585
Penicillium	68	1579
Penicillium	104	1568
Penicillium	107	1508
Penicillium	66	1435
Penicillium	67	1429
Penicillium	109	1322
Penicillium	108	1320
Penicillium	110	1235
Penicillium	65	1231
Penicillium	113	1230
Penicillium	111	1224
Penicillium	112	1127
Penicillium	114	1102
Penicillium	64	1090
Penicillium	115	1078
Penicillium	151	1060
Penicillium	116	996
Penicillium	63	989
Penicillium	117	976
Penicillium	118	929
Penicillium	62	924
Penicillium	119	908
Penicillium	122	891
Penicillium	61	876
Penicillium	120	832
Penicillium	121	823
Penicillium	126	784
Penicillium	60	769
Penicillium	124	730
Penicillium	123	690
Penicillium	129	663
Penicillium	127	660
Penicillium	59	657
Penicillium	125	651
Malassezia	151	631
Penicillium	128	603
Penicillium	131	595
Penicillium	130	555
Penicillium	132	551
Penicillium	133	547
Penicillium	58	530
Aspergillus	151	508
Penicillium	57	491
Penicillium	135	433
Penicillium	134	432
Penicillium	136	425
Penicillium	139	424
Penicillium	56	404
Penicillium	138	375
Penicillium	141	370
Penicillium	140	351
Homo	151	340
Penicillium	137	340
Penicillium	142	334
Penicillium	144	324
Penicillium	143	317
Aspergillus	85	305
Aspergillus	105	303
Penicillium	145	300
Penicillium	147	297
Aspergillus	91	296
Penicillium	55	296
Elymus	151	292
Aspergillus	87	287
Aspergillus	93	287
Aspergillus	98	281
Aspergillus	95	277
Aspergillus	96	277
Aspergillus	101	273
Aspergillus	104	273
Aspergillus	92	271
Aspergillus	83	270
Aspergillus	90	269
Penicillium	148	268
Aspergillus	84	267
Aspergillus	86	265
Aspergillus	99	261
Aspergillus	97	258
Aspergillus	79	257
Aspergillus	89	257
Aspergillus	94	257
Aspergillus	100	256
Aspergillus	82	255
Aspergillus	103	255
Aspergillus	111	253
Aspergillus	80	251
Aspergillus	81	251
Aspergillus	102	251
Aspergillus	113	251
Aspergillus	107	246
Aspergillus	116	246
Aspergillus	77	245
Aspergillus	106	245
Penicillium	146	245
Aspergillus	88	244
Aspergillus	112	242
Penicillium	54	241
Aspergillus	110	238
Penicillium	153	234
Penicillium	149	229
Aspergillus	78	224
Aspergillus	108	222
Aspergillus	109	218
Aspergillus	75	216
Penicillium	155	209
Aspergillus	119	205
Penicillium	150	205
Aspergillus	76	204
Penicillium	159	204
Penicillium	154	201
Penicillium	156	196
Aspergillus	117	194
Aspergillus	125	194
Aspergillus	114	193
Aspergillus	121	192
Penicillium	53	187
Penicillium	152	187
Aspergillus	115	182
Aspergillus	118	182
Aspergillus	74	180
Penicillium	157	179
Aspergillus	126	178
Aspergillus	120	177
Aspergillus	127	172
Penicillium	162	170
Aspergillus	123	169
Aspergillus	130	169
Penicillium	52	168
Aspergillus	124	167
Aspergillus	122	166
Aspergillus	72	160
Penicillium	160	159
Aspergillus	73	155
Aspergillus	131	152
Aspergillus	71	151
Aspergillus	128	149
Aspergillus	129	146
Aspergillus	135	141
Penicillium	163	140
Aspergillus	136	139
Aspergillus	70	138
Penicillium	165	135
Aspergillus	144	134
Penicillium	158	132
Penicillium	168	130
Aspergillus	68	129
Penicillium	161	128
Penicillium	170	126
Aspergillus	134	125
Aspergillus	69	124
Aspergillus	67	122
Penicillium	51	121
Aspergillus	132	120
Penicillium	173	118
Penicillium	177	118
Aspergillus	138	116
Penicillium	169	108
Aspergillus	139	107
Penicillium	164	107
Penicillium	167	105
Aspergillus	148	104
Aspergillus	65	103
Aspergillus	133	102
Aspergillus	140	99
Aspergillus	141	99
Penicillium	171	96
Aspergillus	137	95
Aspergillus	66	92
Penicillium	50	92
Penicillium	176	92
Penicillium	181	89
Penicillium	178	88
Aspergillus	149	85
Penicillium	172	85
Penicillium	175	85
Aspergillus	142	83
Aspergillus	161	83
Malassezia	95	81
Penicillium	180	81
Aspergillus	159	80
Penicillium	166	80
Penicillium	174	79
Aspergillus	143	78
Aspergillus	145	78
Aspergillus	156	74
Aspergillus	158	74
Aspergillus	64	73
Aspergillus	147	73
Aspergillus	150	73
Aspergillus	160	72
Vanrija	114	71
Penicillium	197	70
Aspergillus	154	69
Vanrija	106	69
Aspergillus	146	68
