genus	TotalReads	Proportion
Penicillium	132070	0.728654028645201
Aspergillus	20186	0.111369805574559
Malassezia	5627	0.0310451746739346
Elymus	3987	0.021996998653808
Vanrija	3500	0.0193101317502703
Homo	2126	0.0117295257431642
Paecilomyces	750	0.00413788537505793
Plantago	663	0.00365789067155121
Pachyramphus	632	0.00348685807604882
Ulota	628	0.00346478935404851
Mirabilis	599	0.00330479111954627
Epidermophyton	388	0.00214066603402997
Blastomyces	385	0.00212411449252974
Triticum	378	0.0020854942290292
Zostera	368	0.00203032242402842
Fusarium	363	0.00200273652152804
Histoplasma	352	0.00194204753602719
Trametes	318	0.00175446339902456
Cladosporium	292	0.00161101670602255
Drosophila	283	0.00156136208152186
Phyllosticta	252	0.00139032948601946
Jakoba	212	0.00116964226601637
Andalucia	193	0.00106481583651491
Capsicum	191	0.00105378147551475
Reclinomonas	183	0.00100964403151413
Corchorus	178	0.000982058129013749
Cucumis	148	0.000816542714011432
Scytothamnus	141	0.000777922450510891
Pestalotiopsis	129	0.000711716284509964
Tamarindus	116	0.00063999293800896
Macrophomina	108	0.000595855494008342
Seculamonas	104	0.000573786772008033
Cucurbita	101	0.000557235230507801
Solanum	99	0.000546200869507647
Rehmannia	91	0.000502063425507029
Hyoscyamus	89	0.000491029064506874
Leptographium	83	0.000457925981506411
Demodex	82	0.000452408801006334
Rhododendron	82	0.000452408801006334
Ophiocordyceps	77	0.000424822898505948
Berkeleya	76	0.00041930571800587
Luffa	76	0.00041930571800587
Heterodermia	66	0.000364133913005098
Saccharomyces	66	0.000364133913005098
Ciborinia	62	0.000342065191004789
Castilleja	61	0.000336548010504712
Vitis	61	0.000336548010504712
Cephalopterus	60	0.000331030830004634
Taiwanofungus	59	0.000325513649504557
Trichosporon	59	0.000325513649504557
Coccidioides	58	0.00031999646900448
Hesperelaea	58	0.00031999646900448
Parastagonospora	56	0.000308962108004325
Citrus	53	0.000292410566504094
Monilinia	53	0.000292410566504094
Phylloscopus	50	0.000275859025003862
Bidens	44	0.000242755942003399
Mionectes	44	0.000242755942003399
Ophidiomyces	44	0.000242755942003399
Ammopiptanthus	42	0.000231721581003244
Clogmia	42	0.000231721581003244
Nemania	42	0.000231721581003244
Talaromyces	42	0.000231721581003244
Madurella	41	0.000226204400503167
Onygena	36	0.000198618498002781
Daedalea	35	0.000193101317502703
Neurospora	35	0.000193101317502703
Onychorhynchus	35	0.000193101317502703
Rubus	35	0.000193101317502703
Phylloporia	34	0.000187584137002626
Didymella	33	0.000182066956502549
Exserohilum	33	0.000182066956502549
Saccharum	33	0.000182066956502549
Coniothyrium	32	0.000176549776002472
Panax	32	0.000176549776002472
Thermochaetoides	32	0.000176549776002472
Geotrichum	31	0.000171032595502394
Cutaneotrichosporon	30	0.000165515415002317
Lecanora	30	0.000165515415002317
