rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
VYXB01000001.1	1	88810	606	18188	20.4797	0.454577	39.6	17.5
VYXB01000002.1	1	284644	3289	94901	33.3402	0.769544	39.5	21.5
VYXB01000003.1	1	173455	1185	37470	21.6021	0.475824	39.5	19.3
VYXB01000004.1	1	462283	4153	124774	26.9908	0.585691	39.5	20.4
VYXB01000005.1	1	445904	4067	115638	25.9334	0.580728	39.5	18.6
VYXB01000006.1	1	26019	259	6241	23.9863	0.62366	39.3	17.2
VYXB01000007.1	1	269027	5346	49508	18.4026	1.29197	39.3	6.37
VYXB01000008.1	1	49837	921	11652	23.3802	1.05414	38.1	9.41
VYXB01000009.1	1	67336	429	13780	20.4645	0.411251	39.4	18.5
VYXB01000010.1	1	5276	28	848	16.0728	0.295679	38.3	12.2
VYXB01000011.1	1	2793	15	247	8.84354	0.298962	39.8	10.2
VYXB01000012.1	1	462	3	86	18.6147	0.266234	39.9	0.667
VYXB01000013.1	1	182023	2265	67410	37.0338	0.850865	39.5	25.5
VYXB01000014.1	1	18727	230	5231	27.9329	0.85091	39.5	11.2
VYXB01000015.1	1	88944	598	19218	21.6069	0.449339	39.6	21.6
VYXB01000016.1	1	606067	4379	141764	23.3908	0.481909	39.5	20.7
VYXB01000017.1	1	438998	5458	156466	35.6416	0.812047	39.5	23.7
VYXB01000018.1	1	138501	1335	32612	23.5464	0.55487	39	17.1
VYXB01000019.1	1	3283	4	142	4.32531	0.0852878	39.3	9.75
VYXB01000020.1	1	668232	6884	202156	30.2524	0.678196	39.4	21.2
VYXB01000021.1	1	248558	2297	71407	28.7285	0.618302	39.5	21.2
VYXB01000022.1	1	12060	304	2720	22.5539	1.13474	34.5	3.36
VYXB01000023.1	1	51143	334	10807	21.1309	0.455859	39.5	17.3
VYXB01000024.1	1	358121	4842	126238	35.2501	0.872733	39.5	22.4
VYXB01000025.1	1	27087	273	6493	23.9709	0.684609	39.5	13.4
VYXB01000026.1	1	906	1	54	5.96026	0.0596026	40	1
VYXB01000027.1	1	108774	1401	33120	30.4485	0.820242	39.1	18.6
VYXB01000028.1	1	17368	147	4947	28.4834	0.539901	39.6	18
VYXB01000030.1	1	249856	2166	67020	26.8235	0.571693	39.4	21.9
VYXB01000031.1	1	5052	27	378	7.48219	0.292755	39.4	9.74
VYXB01000032.1	1	68283	622	18679	27.3553	0.617562	39.5	20.3
VYXB01000033.1	1	75750	920	27409	36.1835	0.817941	39.3	24.2
VYXB01000034.1	1	19476	23	715	3.67119	0.0620764	39.8	2.09
VYXB01000035.1	1	21218	192	6072	28.6172	0.59129	39.7	20.5
VYXB01000036.1	1	760310	8345	229006	30.1201	0.741303	39.5	20.1
VYXB01000038.1	1	23241	143	4035	17.3616	0.343015	39.5	14.3
VYXB01000039.1	1	724	5	276	38.1215	0.459945	39.9	2.6
VYXB01000040.1	1	188413	3276	54699	29.0314	1.03966	39.4	12.8
VYXB01000041.1	1	53336	512	13192	24.7338	0.575071	39.5	17.2
VYXB01000042.1	1	76997	540	15036	19.528	0.470057	39.4	14.6
VYXB01000043.1	1	10210	29	705	6.905	0.167777	39.1	3
VYXB01000044.1	1	89286	768	25980	29.0975	0.621923	39.6	22
VYXB01000045.1	1	3457	27	343	9.9219	0.68759	39.7	4.67
VYXB01000047.1	1	60168	433	12596	20.9347	0.49272	39.4	20
VYXB01000048.1	1	253057	2388	68130	26.9228	0.628333	39.4	17.6
VYXB01000049.1	1	17122	123	3311	19.3377	0.427053	39.2	13.4
VYXB01000050.1	1	150901	1144	35912	23.7984	0.527737	39.4	21.4
VYXB01000051.1	1	857	7	149	17.3862	0.490082	39.4	0.286
VYXB01000052.1	1	8994	30	1097	12.197	0.244052	39.6	11.8
VYXB01000053.1	1	19265	203	5835	30.2881	0.739476	39.4	23.4
VYXB01000054.1	1	416	1	44	10.5769	0.105769	40	1
VYXB01000055.1	1	5960	17	317	5.31879	0.14849	39.7	3.35
VYXB01000056.1	1	864	8	74	8.56481	0.34838	39.6	0.75
VYXB01000058.1	1	623	5	167	26.8058	0.508828	35.7	24.8
VYXB01000059.1	1	669	1	77	11.5097	0.115097	40	0
VYXB01000060.1	1	418	2	122	29.1866	0.291866	39.7	0
VYXB01000061.1	1	221006	1634	47586	21.5315	0.506927	39.5	18.7
VYXB01000062.1	1	493	1	76	15.4158	0.154158	40	9
VYXB01000063.1	1	7172	44	831	11.5867	0.344116	39.5	12.3
VYXB01000064.1	1	783	1	49	6.25798	0.0625798	40	0
VYXB01000066.1	1	2986	25	517	17.3141	0.576021	39.5	7.4
VYXB01000067.1	1	1152	17	404	35.0694	1.14149	39.7	38.6
VYXB01000069.1	1	1152	2	92	7.98611	0.159722	39.1	0
VYXB01000070.1	1	3843	9	258	6.71351	0.140255	38.4	32
VYXB01000071.1	1	505	5	42	8.31683	0.415842	39.2	8.2
VYXB01000072.1	1	1025	678	258	25.1707	42.4361	38.9	6.16
VYXB01000074.1	1	1000	19	507	50.7	1.325	39.4	5.32
VYXB01000075.1	1	1683	12	338	20.0832	0.411765	39.8	7.42
VYXB01000076.1	1	1247	737	635	50.9222	25.7674	39.7	9.77
VYXB01000077.1	1	6513	82	498	7.64625	0.647474	39.5	0.341
VYXB01000078.1	1	1543	4	96	6.22165	0.124433	40	7
VYXB01000080.1	1	549	2	82	14.9362	0.180328	39.7	0
VYXB01000082.1	1	466	10	265	56.867	1.43133	39.4	30.5
VYXB01000083.1	1	23450	173	4796	20.452	0.500299	39.7	21.9
VYXB01000084.1	1	696	15	118	16.954	1.11638	38.6	6.33
VYXB01000085.1	1	1225	3	78	6.36735	0.10449	39.8	18.3
VYXB01000086.1	1	1155	7	171	14.8052	0.320346	39.7	0.143
VYXB01000090.1	1	736	5	120	16.3043	0.623641	38.2	28.8
VYXB01000091.1	1	883	4	123	13.9298	0.232163	39.5	4.5
VYXB01000092.1	1	457	2	72	15.7549	0.221007	39.5	0.5
VYXB01000093.1	1	2265	8	264	11.6556	0.154525	39.8	3.75
VYXB01000095.1	1	1027	24	424	41.2853	1.22882	39.6	8.83
VYXB01000096.1	1	6658	32	1361	20.4416	0.316762	39.8	18.4
VYXB01000098.1	1	2080	24	691	33.2212	0.821154	39.6	3.46
VYXB01000099.1	1	740	2	36	4.86486	0.0972973	40	2
VYXB01000100.1	1	466	15	86	18.4549	1.09227	38.4	1.6
VYXB01000101.1	1	4639	13	348	7.50162	0.169002	39.9	12.5
VYXB01000103.1	1	1287	1	51	3.9627	0.039627	40	4
VYXB01000104.1	1	3780	4	78	2.06349	0.0571429	37.1	2
VYXB01000105.1	1	1347	4	33	2.44989	0.0979955	40	0
VYXB01000106.1	1	1010	9	322	31.8812	0.727723	38.1	24.2
VYXB01000107.1	1	3745	2	84	2.24299	0.0224299	40	0
VYXB01000108.1	1	457	4	94	20.5689	0.507659	38.5	0.5
VYXB01000109.1	1	16523	213	3697	22.3749	0.840162	39.6	10.7
VYXB01000110.1	1	1177	18	412	35.0042	0.807137	39.1	11.2
