reference	ref_length	mean_coverage	std_coverage	pct_covered
kraken:taxid|1000413	803281	0.00	0.05	0.05
kraken:taxid|1001283	19746	0.02	0.50	0.15
kraken:taxid|1001332	92672	0.11	3.67	0.33
kraken:taxid|1001915	16601	0.01	0.11	0.42
kraken:taxid|1001917	16568	0.00	0.09	0.22
kraken:taxid|1001925	16615	0.00	0.09	0.19
kraken:taxid|100306	16857	0.01	0.17	0.18
kraken:taxid|1003335	46308	0.01	0.46	0.24
kraken:taxid|100367	41446	0.05	0.94	0.87
kraken:taxid|1003758	16708	0.00	0.08	0.16
kraken:taxid|1003843	17892	0.01	0.23	0.22
kraken:taxid|100678	15587	0.00	0.04	0.13
kraken:taxid|1007502	30117	0.39	3.72	5.44
kraken:taxid|100756	72961	0.01	0.19	0.17
kraken:taxid|100816	45590	0.25	1.77	5.20
kraken:taxid|100828	16688	0.01	0.24	0.24
kraken:taxid|100858	16960	0.28	6.07	0.64
kraken:taxid|100859	16795	0.04	0.55	0.64
kraken:taxid|1008807	51458	0.01	0.38	0.22
kraken:taxid|1008900	750457	0.00	0.04	0.03
kraken:taxid|100945	16530	0.53	8.56	1.02
kraken:taxid|101011	283031	0.00	0.02	0.01
kraken:taxid|101014	290970	0.00	0.06	0.01
kraken:taxid|101028	110525	0.00	0.02	0.06
kraken:taxid|10105	16307	0.01	0.16	0.41
kraken:taxid|10116	16313	0.01	0.12	0.36
kraken:taxid|101162	124887	0.06	2.41	0.43
kraken:taxid|101201	29999	0.00	0.05	0.24
kraken:taxid|101317	16244	0.02	0.56	0.16
kraken:taxid|101699	17093	0.00	0.04	0.18
kraken:taxid|10181	16386	0.01	0.13	0.20
kraken:taxid|101852	45501	0.04	0.40	1.12
kraken:taxid|101920	43517	0.00	0.03	0.07
kraken:taxid|102107	535727	0.00	0.02	0.03
kraken:taxid|10212	15433	0.00	0.08	0.17
kraken:taxid|102233	16417	0.15	3.61	0.37
kraken:taxid|102404	16829	0.03	0.77	0.35
kraken:taxid|1026954	256961	0.00	0.10	0.07
kraken:taxid|102772	286160	0.01	0.12	0.23
kraken:taxid|1027831	15251	0.00	0.04	0.17
kraken:taxid|102827	19144	0.00	0.11	0.14
kraken:taxid|102876	16135	0.01	0.13	0.18
kraken:taxid|1030472	16007	0.01	0.25	0.17
kraken:taxid|1031547	9406	3.17	55.98	0.35
kraken:taxid|1032456	14282	0.01	0.13	0.19
kraken:taxid|1032745	45831	0.02	0.33	0.34
kraken:taxid|1034303	29298	0.18	2.45	4.56
kraken:taxid|1034304	29100	0.08	0.79	4.03
kraken:taxid|1034331	23497	0.00	0.03	0.11
kraken:taxid|103435	17602	0.02	0.38	0.18
kraken:taxid|1034756	16516	3.21	78.53	0.33
kraken:taxid|1036011	15357	0.04	0.84	0.26
kraken:taxid|103713	25508	0.01	0.16	0.10
kraken:taxid|1037239	15755	0.01	0.20	0.23
kraken:taxid|103827	13668	0.00	0.04	0.19
kraken:taxid|103956	16967	0.01	0.08	0.60
kraken:taxid|103999	403704	0.00	0.41	0.07
kraken:taxid|1040649	163380	0.01	0.47	0.31
kraken:taxid|1040955	17119	0.01	0.13	0.19
kraken:taxid|104198	80736	0.00	0.06	0.07
kraken:taxid|1042133	58093	0.00	0.02	0.05
kraken:taxid|104537	69465	0.00	0.10	0.06
kraken:taxid|1046848	17313	0.00	0.08	0.16
kraken:taxid|104688	15815	0.00	0.04	0.13
kraken:taxid|104691	15865	0.01	0.17	0.18
kraken:taxid|1047171	43964	0.07	0.50	2.57
kraken:taxid|1049057	18624	0.01	0.19	0.14
kraken:taxid|1050842	16605	0.00	0.04	0.17
kraken:taxid|1051321	16167	0.17	4.15	0.20
kraken:taxid|1051451	15933	0.00	0.04	0.19
kraken:taxid|1051616	26139	0.04	0.49	1.16
kraken:taxid|1051621	16476	0.02	0.39	0.19
kraken:taxid|1051997	17971	0.45	10.56	0.61
kraken:taxid|1052852	130507	0.03	1.06	0.27
kraken:taxid|105297	16269	0.00	0.06	0.37
kraken:taxid|1053340	1002696	0.00	0.03	0.01
kraken:taxid|105427	17478	0.01	0.13	0.41
kraken:taxid|105608	25165	0.10	2.95	0.12
kraken:taxid|105714	37686	0.41	3.04	3.15
kraken:taxid|105859	16156	0.00	0.09	0.33
kraken:taxid|106224	16913	0.01	0.27	0.20
kraken:taxid|106386	17162	0.00	0.04	0.19
kraken:taxid|1064604	17109	0.91	13.57	0.98
kraken:taxid|106567	385869	0.00	0.02	0.04
kraken:taxid|1069201	31228	0.39	2.36	6.37
kraken:taxid|1069709	15632	0.01	0.07	0.51
kraken:taxid|1070780	33348	3.98	17.49	17.15
kraken:taxid|1072502	15374	0.00	0.04	0.20
kraken:taxid|1073559	15935	0.00	0.04	0.20
kraken:taxid|107362	383969	0.01	0.75	0.37
kraken:taxid|107377	16919	0.08	1.11	0.74
kraken:taxid|107380	16705	0.00	0.09	0.20
kraken:taxid|1076256	122167	0.00	0.09	0.27
kraken:taxid|1077358	98533	0.07	0.86	1.37
kraken:taxid|1078248	16252	0.01	0.21	0.17
kraken:taxid|1078267	15199	0.04	0.81	0.39
kraken:taxid|1078808	15299	0.01	0.18	0.20
kraken:taxid|107881	16336	0.00	0.12	0.16
kraken:taxid|1078812	15626	0.00	0.08	0.18
kraken:taxid|1078885	16796	0.01	0.15	0.24
kraken:taxid|1079084	107186	0.00	0.21	0.04
kraken:taxid|1079087	106809	0.00	0.17	0.06
kraken:taxid|1079090	107215	0.00	0.13	0.13
kraken:taxid|1079933	15585	0.00	0.08	0.17
kraken:taxid|1080924	16661	0.00	0.04	0.20
kraken:taxid|108094	13950	0.03	0.51	0.56
kraken:taxid|1085627	15384	0.03	0.67	0.39
kraken:taxid|1085956	32954	0.00	0.06	0.08
kraken:taxid|1086102	15330	0.01	0.22	0.20
kraken:taxid|1086104	15196	0.00	0.05	0.20
kraken:taxid|1086110	16349	0.03	0.75	0.19
kraken:taxid|1086114	15423	0.01	0.14	0.38
kraken:taxid|1086150	15361	0.01	0.18	0.20
kraken:taxid|1087604	15825	1.38	36.27	1.19
kraken:taxid|1087605	15885	0.02	0.28	0.33
kraken:taxid|1087657	15387	0.00	0.05	0.25
kraken:taxid|1088141	15345	0.01	0.26	0.36
kraken:taxid|1088287	15318	0.01	0.14	0.22
kraken:taxid|108852	16770	0.02	0.28	0.55
kraken:taxid|1088818	672872	0.00	0.05	0.08
kraken:taxid|108901	144970	0.06	4.11	0.06
kraken:taxid|1089818	84295	0.14	4.59	0.74
kraken:taxid|109008	15296	0.00	0.04	0.17
